i,t,c,sys,stage,value
Guangxi,2004,rice,late_double,growing,-0.7338557975743402
Guangxi,2004,rice,late_double,harvesting,1.0115559042954005
Guangxi,2004,rice,late_double,sowing,2.915900666372992
Guangxi,2004,rice,single,growing,0.2981138823430529
Guangxi,2004,rice,single,harvesting,1.389218338326497
Guangxi,2004,rice,single,sowing,0.4294056229074763
Guangxi,2004,soybean,single,growing,-0.10191777593786629
Guangxi,2004,soybean,single,harvesting,1.5388619440152045
Guangxi,2004,soybean,single,sowing,0.7707857403150993
Guangxi,2005,maize,spring,growing,-0.6620497266803024
Guangxi,2005,maize,spring,harvesting,1.5110974540442959
Guangxi,2005,maize,spring,sowing,0.4852638348897569
Guangxi,2005,rice,early_double,growing,2.00278566690328
Guangxi,2005,rice,early_double,harvesting,-3.087787800815585
Guangxi,2005,rice,early_double,sowing,0.4852638348897569
Guangxi,2005,rice,late_double,growing,1.4757279983092417
Guangxi,2005,rice,late_double,harvesting,0.8444677405959163
Guangxi,2005,rice,late_double,sowing,-3.087787800815585
Guangxi,2005,rice,single,growing,0.0804440811030964
Guangxi,2005,rice,single,harvesting,0.9881022711242791
Guangxi,2005,rice,single,sowing,0.6328770265337034
Guangxi,2005,soybean,single,growing,-0.2467259142492609
Guangxi,2005,soybean,single,harvesting,1.3309304057201214
Guangxi,2005,soybean,single,sowing,2.00278566690328
Guangxi,2006,maize,spring,growing,-0.7632668590244376
Guangxi,2006,maize,spring,harvesting,-0.16454922108496745
Guangxi,2006,maize,spring,sowing,0.43189311772042316
Guangxi,2006,rice,early_double,growing,1.0178931146503505
Guangxi,2006,rice,early_double,harvesting,0.9580350977758703
Guangxi,2006,rice,early_double,sowing,0.43189311772042316
Guangxi,2006,rice,late_double,growing,-0.5646363093804346
Guangxi,2006,rice,late_double,harvesting,-0.07968721538547849
Guangxi,2006,rice,late_double,sowing,0.9580350977758703
Guangxi,2006,rice,single,growing,-0.2782069802347804
Guangxi,2006,rice,single,harvesting,0.4696994721433697
Guangxi,2006,rice,single,sowing,0.1671497559255777
Guangxi,2006,soybean,single,growing,-0.7972833037013201
Guangxi,2006,soybean,single,harvesting,1.292931906570525
Guangxi,2006,soybean,single,sowing,1.0178931146503505
Guangxi,2007,maize,spring,growing,1.2710895346964768
Guangxi,2007,maize,spring,harvesting,1.0698412966919064
Guangxi,2007,maize,spring,sowing,0.2956396686770594
Guangxi,2007,rice,early_double,growing,3.413523287375094
Guangxi,2007,rice,early_double,harvesting,1.4737319903587909
Guangxi,2007,rice,early_double,sowing,0.2956396686770594
Guangxi,2007,rice,late_double,growing,0.5562987121248215
Guangxi,2007,rice,late_double,harvesting,1.4426752922187245
Guangxi,2007,rice,late_double,sowing,1.4737319903587909
Guangxi,2007,rice,single,growing,0.9462127445560593
Guangxi,2007,rice,single,harvesting,1.0844939523475805
Guangxi,2007,rice,single,sowing,0.3424771206260244
Guangxi,2007,soybean,single,growing,0.6131713761046871
Guangxi,2007,soybean,single,harvesting,0.5932300142952388
Guangxi,2007,soybean,single,sowing,3.413523287375094
Guangxi,2008,maize,spring,growing,-1.0625077142855488
Guangxi,2008,maize,spring,harvesting,-0.5041207415621667
Guangxi,2008,maize,spring,sowing,0.5156762893688561
Guangxi,2008,rice,early_double,growing,0.6877290299730612
Guangxi,2008,rice,early_double,harvesting,-1.5596899906303359
Guangxi,2008,rice,early_double,sowing,0.5156762893688561
Guangxi,2008,rice,late_double,growing,-1.0629200048906977
Guangxi,2008,rice,late_double,harvesting,-0.8132964984164701
Guangxi,2008,rice,late_double,sowing,-1.5596899906303359
Guangxi,2008,rice,single,growing,-1.6195410166727933
Guangxi,2008,rice,single,harvesting,0.44434597003348586
Guangxi,2008,rice,single,sowing,0.4803169426149897
Guangxi,2008,soybean,single,growing,-1.3137676716420665
Guangxi,2008,soybean,single,harvesting,-0.6915604826954773
Guangxi,2008,soybean,single,sowing,0.6877290299730612
Guangxi,2009,maize,spring,growing,-0.016366450898762125
Guangxi,2009,maize,spring,harvesting,4.201245157397114
Guangxi,2009,maize,spring,sowing,-0.2052596659419919
Guangxi,2009,rice,early_double,growing,0.3784701397687726
Guangxi,2009,rice,early_double,harvesting,2.179020747840606
Guangxi,2009,rice,early_double,sowing,-0.2052596659419919
Guangxi,2009,rice,late_double,growing,0.5463766086369651
Guangxi,2009,rice,late_double,harvesting,0.8332844130950494
Guangxi,2009,rice,late_double,sowing,2.179020747840606
Guangxi,2009,rice,single,growing,1.0494549474291033
Guangxi,2009,rice,single,harvesting,0.6235683858641341
Guangxi,2009,rice,single,sowing,-0.11156011416132042
Guangxi,2009,soybean,single,growing,0.7478634692763372
Guangxi,2009,soybean,single,harvesting,0.9306259717769386
Guangxi,2009,soybean,single,sowing,0.3784701397687726
Guangxi,2010,maize,spring,growing,-0.4305061662475749
Guangxi,2010,maize,spring,harvesting,2.2600840634605026
Guangxi,2010,maize,spring,sowing,-0.2251222618923414
Guangxi,2010,rice,early_double,growing,0.41831901285741513
Guangxi,2010,rice,early_double,harvesting,-1.9638323597560774
Guangxi,2010,rice,early_double,sowing,-0.2251222618923414
Guangxi,2010,rice,late_double,growing,0.1067018066073194
Guangxi,2010,rice,late_double,harvesting,1.2586433897154323
Guangxi,2010,rice,late_double,sowing,-1.9638323597560774
