i,r,t,scenario,drought,heat,compound
Tianjin,rice,2012,historical,-1.0484275414921107,-0.410431855290777,-0.8000261226702134
Tianjin,soybean,2012,historical,-0.4938962629545076,-0.1909395293745163,-0.7921208241778226
Tianjin,wheat,2012,historical,-0.8560536091638525,-0.8403431380838239,-0.9610233544756402
Tibet,maize,2012,historical,-0.1143608931566043,0.0,0.0
Tibet,rice,2012,historical,-0.5108990304276863,0.0,0.0
Tibet,soybean,2012,historical,0.3636753593092723,0.0,0.0
Tibet,wheat,2012,historical,-0.2860267158292294,0.0,0.0
Xinjiang,maize,2012,historical,-0.526907488979671,-0.3541008103723569,-0.7385985862494112
Xinjiang,rice,2012,historical,-0.2115711091948718,-0.3519636827838416,-0.6069447169387363
Xinjiang,soybean,2012,historical,-0.4507556642420769,-0.5608259647880957,-0.7442232604881497
Xinjiang,wheat,2012,historical,-0.7550252259523312,-0.4192733780153542,-0.7222190005583354
Yunnan,maize,2012,historical,1.17241587748629,0.0752381786786492,0.3538641139430828
Yunnan,rice,2012,historical,1.7473565311937191,0.0336509070674471,-0.105033034451224
Yunnan,soybean,2012,historical,0.960139959426858,0.2050972753434176,0.0059826965974972
Yunnan,wheat,2012,historical,0.1828687457024477,0.1132413188315344,-0.3269907140677641
Zhejiang,maize,2012,historical,-0.790441127551294,-0.4007258302540877,-0.4189177673557908
Zhejiang,rice,2012,historical,0.509271851444662,-0.535391355457212,-0.7015265108739461
Zhejiang,soybean,2012,historical,-0.4558846754656915,-0.3031954092042858,-0.5442759126871808
Zhejiang,wheat,2012,historical,-0.6377767326670932,-0.6416892833161313,-0.0092828256065122
Anhui,maize,2013,historical,1.7701072520108827,0.5953134202807898,1.0235890456063303
Anhui,rice,2013,historical,1.9535298453902576,0.2575344306730791,0.6483454755648538
Anhui,soybean,2013,historical,0.9290773313894664,0.4234506126065371,1.086114043925848
Anhui,wheat,2013,historical,0.3621679760052972,-0.3661586759786467,0.2500172733435684
Beijing,maize,2013,historical,-0.4667599153639057,-0.324488916782524,-0.236466759239518
Beijing,rice,2013,historical,-0.4077336219124157,-0.3828404160081969,-0.4428894234417246
Beijing,soybean,2013,historical,-0.6062988409770702,-0.5980637775433576,-0.3040088780859054
Beijing,wheat,2013,historical,-1.7969877187160062,-0.9179539630818806,-0.951635977679037
Chongqing,maize,2013,historical,1.526711705707659,0.8386697686308363,0.9121253548342564
Chongqing,rice,2013,historical,2.120007461494335,0.5170084829709195,1.2932636447393338
Chongqing,soybean,2013,historical,0.9516371608880664,0.4600514736864333,1.0658692392457276
Chongqing,wheat,2013,historical,1.607860412247567,0.4749358626740693,0.7792214665523408
Fujian,maize,2013,historical,0.4559647496537353,-0.1775607266243991,-0.1210376576597836
Fujian,rice,2013,historical,0.5133991215945463,-0.2057107418663388,-0.3846629685799807
Fujian,soybean,2013,historical,0.6728918549443966,-0.1580896979459752,-0.1611130471368405
Fujian,wheat,2013,historical,0.3374136426793749,-0.2296883888066703,-1.1944957559289162
Gansu,maize,2013,historical,-0.2735262083987089,-0.417741918282918,-0.3431207492485069
Gansu,rice,2013,historical,1.0224263060281873,-0.2609856000089467,-0.2583892561029328
Gansu,soybean,2013,historical,-0.2311237252624063,-0.4004432256175095,-0.4053453255853618
Gansu,wheat,2013,historical,-0.129770797114603,-0.2803289314104343,-0.3805982245125734
Guangdong,maize,2013,historical,-1.705775750286512,-1.0274788738369804,-0.488224265615865
Guangdong,rice,2013,historical,-0.2718938500453085,-0.6229407915253006,-0.3851930401050933
